Lon,Lat,Clave,Edo,Est,Tmax
-99.2,19.41,CTMDF,CDMX,Observatorio de Tacubaya Cd. de MÈx.,26.1
-99.09,19.48,GCNDF,CDMX,km 6+250 Cd. de MÈx.,26.4
-99.07,19.44,MMMX,CDMX,Aeropuerto Internacional de la Ciudad de MÈxico Cd. de MÈx.*,24.3
-99.22,19.44,IBMSE,CDMX,Legaria Cd. de MÈx. SGIRPC*,25.1
-99.26,19.36,SFESE,CDMX,Santa Fe Cd. de MÈx. SGIRPC*,21.8
-99.19,19.42,MDELREY,CDMX,Molino del Rey Cd. de MÈx SMN*,25.1
-99.16,19.15,AJUSE,CDMX,Ajusco Cd. de MÈx. SGIRPC*,20.5
-99.14,19.48,CCHV,CDMX,Colegio de Ciencias y Humanidades Vallejo Cd. de MÈx. UNAM*,27.2
-99.01,19.25,TULYEHUALC,CDMX,Tulyehualco Cd. de MÈx. UNAM*,23.9
-99.18,19.33,CCA,CDMX,Centro de Ciencias de la AtmÛsfera Cd. de MÈx UNAM*,24.7
-99.12,19.48,ENP9,CDMX,Escuela Nacional Preparatoria 9 Cd. de MÈx. UNAM*,25.6
-99.15,19.31,SURSE,CDMX,Santa ⁄rsula Cd. de MÈx. SGIRPC*,24.4
-99.08,19.4,AGOSE,CDMX,AgrÌcola Oriental Cd. de MÈx. SGIRPC*,25.0
-99.14,19.55,CUAUTEPEC,CDMX,Cuautepec Cd. de MÈx. UNAM*,24.2
-99.15,19.2,TOPSE,CDMX,Topilejo Cd. de MÈx. SGIRPC*,21.0
-99.26,19.36,SANSE,CDMX,Santa Ana Cd. de MÈx. SGIRPC*,22.5
-99.2,19.4,TACUBAYAob,CDMX,Observatorio de Tacubaya Cd. de MÈx. SMN*,24.5
-99.2,19.5,CCHA,CDMX,Colegio de Ciencias y Humanidades Azcapotzalco Cd. de MÈx. UNAM*,24.7
-99.21,19.27,AJMSE,CDMX,Ajusco Medio Cd. de MÈx. SGIRPC*,23.0
-99.2,19.33,PEDSE,CDMX,Pedregal Cd. de MÈx. SGIRPC*,22.9
-99.09,19.48,GAMSE,CDMX,Gustavo A. Madero Cd. de MÈx. SGIRPC*,24.7
-99.12,19.42,MERSE,CDMX,Merced Cd. de MÈx. SGIRPC*,24.5
-99.01,19.25,TAHSE,CDMX,Tl·huac Cd. de MÈx. SGIRPC*,24.8
-99.17,19.45,CBIDF,CDMX,Escuela Nacional de Ciencias BiolÛgicas IPN Cd. de MÈx. SMN*,24.9
-99.2,19.4,MGHSE,CDMX,Miguel Hidalgo Cd. de MÈx. SGIRPC*,25.1
-99.15,19.48,LAASE,CDMX,Lab. de An·lisis Ambiental Cd. de MÈx. SGIRPC*,24.1
-99.16,19.37,BJUSE,CDMX,Benito Ju·rez Cd. de MÈx. SGIRPC*,24.0
-99.1,19.3,UAXSE,CDMX,Universidad AutÛnoma Metropolitana Xochimilco Cd. de MÈx. SGIRPC*,24.9
-99.2,19.31,CENAPRED,CDMX,Centro de Ciencias de la AtmÛsfera CENAPRED Cd. de MÈx SMN*,26.0
-99.07,19.36,UIZSE,CDMX,Universidad AutÛnoma Metropolitana Iztapalapa Cd. de MÈx. SGIRPC*,25.6
-105.16,26.74,VICCH,CHIH,Villa Coronado Chih.,32.0
-107.88,26.87,IGNCH,CHIH,San Ignacio Chih.,35.5
-107.92,27.22,URICH,CHIH,Urique Chih. SMN*,35.2
-107.91,27.22,URECH,CHIH,Urique Chih.,37.7
-105.41,27.54,LBQCH,CHIH,La Boquilla Chih.,34.1
-105.45,28.21,CDLCH,CHIH,Ciudad Delicias Chih.,34.5
-107.48,28.48,AGZCH,CHIH,Abraham Gonz·lez Chih.,25.8
-106.09,28.66,QIJCH,CHIH,Observatorio de Chihuahua Chih.,32.7
-108.3,29.2,GPCCH,CHIH,Guapoca Chih.,31.1
-107.38,29.56,TNTCH,CHIH,El Tintero Chih.,31.4
-104.41,29.56,OJNCH,CHIH,Ojinaga Chih.,39.3
-107.03,29.88,LJSCH,CHIH,Las Lajas Chih.,33.0
-106.4,31.74,CJZCH,CHIH,Ciudad Ju·rez Chih.,35.8
-105.38,27.41,CL2CH,CHIH,Colina hidromÈtrica Chih.,32.8
-106.77,26.23,CHNCH,CHIH,Chinat˙ Chih. SMN*,26.3
-107.07,26.82,GCCCH,CHIH,Guachochi Chih. SMN*,23.4
-104.91,27.11,JIMENEZCHIH,CHIH,JimÈnez Chih. SMN*,31.8
-108.54,27.39,CHICH,CHIH,ChÌnipas Chih. SMN*,35.4
-107.63,27.75,CRLCH,CHIH,Creel Chih.,25.0
-107.99,27.86,MAGCH,CHIH,Maguarichi Chih. SMN*,28.4
-106.84,28.4,CDCUAUHTEMOC,CHIH,Ciudad CuauhtÈmoc Chih. SMN*,27.2
-106.49,28.8,MAJALCA,CHIH,Cumbres de Majalca Chih. SMN*,26.6
-108.43,30.84,JANOS,CHIH,Janos Chih. SMN*,33.3
-105.68,26.92,PRRCH,CHIH,Observatorio de Parral Chih.,31.5
-107.85,28.95,TMCCH,CHIH,Observatorio de TemÛsachic Chih.,30.1
-107.93,30.38,CAGCH,CHIH,Observatorio de Nuevo Casas Grandes Chih.,33.3
-105.97,28.7,MMCU,CHIH,Aeropuerto Internacional de Chihuahua Chih.*,31.0
-106.44,31.64,MMCS,CHIH,Aeropuerto Internacional de Ciudad Ju·rez Chih.*,34.5
-106.39,26.47,ELVERGELSMN,CHIH,El Vergel Chih. SMN*,20.9
-108.54,27.42,CNDCH,CHIH,ChÌnipas Chih.,36.4
-106.5,30.62,VILLAAHUMADA,CHIH,Villa Ahumada Chih. SMN*,34.5
-107.26,28.77,BACCH,CHIH,BachÌniva Chih.,27.8
-106.45,31.76,CILANORTE,CHIH,CILA Norte Chih. SGT*,35.5
-105.81,27.45,VZRCH,CHIH,Valle de Zaragoza Chih.,32.1
-104.9,27.12,JIMENEZJ,CHIH,JimÈnez Chih. JCAS*,32.9
-105.17,27.7,CAMARGOJ,CHIH,Camargo Chih. JCAS*,34.3
-107.6,27.97,SANJUANITOJ,CHIH,San Juanito Chih. JCAS*,24.3
-106.88,28.39,CUAUHTEMOCJ,CHIH,CuauhtÈmoc Chih. JCAS*,27.6
-106.08,28.64,CHIHJCAS,CHIH,Chihuahua JCAS Chih. JCAS*,33.9
-106.08,28.68,CHIHPCIVIL,CHIH,Chihuahua PCivil Chih. JCAS*,32.0
-105.91,28.84,ALDAMAJ,CHIH,Aldama Chih. JCAS*,33.2
-103.91,29.11,MBENAVIDESJ,CHIH,Manuel Benavides Chih. JCAS*,34.0
-108.14,29.19,MADERAJ,CHIH,Madera Chih. JCAS*,27.2
-105.09,29.46,COYAMEJ,CHIH,Coyame Chih. JCAS*,33.7
-106.51,30.62,AHUMADAJ,CHIH,Ahumada Chih. JCAS*,34.4
-108,31.09,ASCENCIONJ,CHIH,AscensiÛn Chih. JCAS*,34.3
-106.01,31.37,PRAXEDISJ,CHIH,Pr·xedis Chih. JCAS*,35.8
-106.75,31.72,CONEJOSJ,CHIH,Ju·rez Conejos MÈdanos Chih. JCAS*,35.7
-106.53,31.73,DONBOSCOJ,CHIH,Don Bosco Chih. JCAS*,35.0
-106.43,31.74,IIT01J,CHIH,Instituto de IngenierÌa y TecnologÌa 01 Chih. JCAS*,36.5
-107.63,31.77,PALOMASJ,CHIH,Palomas Chih. JCAS*,35.9
-107.64,27.75,CREELJ,CHIH,Creel Chih. JCAS*,24.5
-105.81,27.46,VDEZARAGOZAJ,CHIH,Valle de Zaragoza Chih. JCAS*,34.0
-105.16,26.74,CORONADOJ,CHIH,Coronado Chih. JCAS*,31.6
-106.96,29.95,RFMAGONJ,CHIH,Ricardo Flores MagÛn Chih. JCAS*,31.8
-106.47,31.65,CNUACJ,CHIH,ClÌnica de NutriciÛn UACJ Chih. JCAS*,35.0
-107.7,28.76,C08243,CHIH,Tejolocachi Chih.,28.2
-106.48,28.8,C08099,CHIH,Majalca Chih.,24.5
-108.09,29.25,C08219,CHIH,PeÒitas Chih.,24.7
-107.07,26.81,GRCCH,CHIH,Guerachi Chih.,37.2
-107.72,27.03,BTPCH,CHIH,Batopilas Chih.,36.8
-105.81,28.6,SANANTONIOJ,CHIH,San Antonio Chih. JCAS*,32.0
-106.43,31.68,JUAREZJ,CHIH,Ju·rez Chih. JCAS*,35.0
-105.63,28.17,FIMCH,CHIH,Las VÌrgenes Chih.,33.6
-107.82,28.95,TEMOSACHICob,CHIH,Observatorio de TemÛsachic Chih. SMN*,30.1
-105.28,28.98,LLNCH,CHIH,El Granero Chih.,39.6
-106.56,31.77,BOMBEROS9J,CHIH,Bomberos 9 Anapra Chih. JCAS*,34.6
-106.68,27.9,SFBORJAJ,CHIH,San Francisco de Borja Chih. JCAS*,30.9
-107.39,29.18,ELTERREROJ,CHIH,El Terrero Chih. JCAS*,30.4
-106.1,28.62,CHIHPOTB,CHIH,Chihuahua Potabilizadora Chih. JCAS*,31.0
-105.69,26.93,PARRALJ,CHIH,Parral Chih. JCAS*,28.1
-107.48,28.55,GUERREROJ,CHIH,Guerrero Chih. JCAS*,27.6
-107.97,26.94,TB2CH,CHIH,Tubares 2 Chih.,39.7
-104.41,29.57,OJINAGAJ,CHIH,Ojinaga Chih. JCAS*,36.6
-108.14,29.18,MDRCH,CHIH,Ciudad Madera Chih.,28.0
-106.4,28.34,SANTAISABELJ,CHIH,Santa Isabel Chih. JCAS*,30.5
-106.11,27.96,SATEVOJ,CHIH,SatevÛ Chih. JCAS*,32.7
-108.28,27.28,TEMORISJ,CHIH,TÈmoris Chih. JCAS*,28.0
-107.92,30.41,NCGJ,CHIH,Nuevo Casas Grandes Chih. JCAS*,32.3
-106.35,26.95,BALLEZAJ,CHIH,Balleza Chih. JCAS*,31.1
-107.83,28.95,TEMOSACHIJ,CHIH,TemÛsachi Chih. JCAS*,29.8
-106.79,28.45,CAMPCUACJ,CHIH,Campus CuauhtÈmoc UACJ Chih. JCAS*,27.4
-106,28.67,PTARSJ,CHIH,Planta de Tratamiento de Aguas Residuales Sur Chih. JCAS*,32.7
-92.47,15.13,HUICP,CHIS,Huixtla Chis.,35.6
-92.58,15.2,DESCP,CHIS,Despoblado Chis.,34.4
-92.88,15.45,MAPCP,CHIS,Mapastepec Chis.,32.0
-92.28,15.75,CHMCP,CHIS,Chicomuselo Chis.,30.9
-93.06,16.45,SDOCP,CHIS,Santo Domingo Chis.,34.3
-91.97,15.85,PCOCP,CHIS,Puente Concordia Chis.,32.1
-92.72,15.87,JAPCP,CHIS,Jaltenango Chis.,32.7
-93.53,15.88,TPICP,CHIS,Tres Picos Chis.,34.0
-92.67,15.92,REFCP,CHIS,Reforma Chis.,32.9
-93.08,16.16,REVCP,CHIS,RevoluciÛn Mexicana Chis.,31.7
-92.1,16.2,COOCP,CHIS,Observatorio de Comit·n Chis.,26.4
-92.48,16.31,CASCP,CHIS,Cascajal Chis.,33.5
-92.78,16.4,ANGCP,CHIS,Doctor Belisario DomÌnguez Chis.,33.3
-92.8,16.55,ACACP,CHIS,Acala Chis.,34.7
-93.15,16.64,BOQCP,CHIS,BoquerÛn Chis.,33.7
-92.63,16.73,SCOCP,CHIS,Observatorio de San CristÛbal Chis.,25.1
-93.1,16.76,TUXCP,CHIS,Tuxtla Oriente Chis.,33.2
-92.82,16.94,SNACP,CHIS,Santa MarÌa Chis.,32.5
-93.1,16.94,CHICP,CHIS,Manuel Moreno Torres Chis.,35.6
-93.6,17.18,MALCP,CHIS,NezahualcÛyotl Chis.,31.7
-93.38,17.42,SAYCP,CHIS,Sayula Chis.,34.2
-92.35,17.57,SAACP,CHIS,Salto de Agua Chis.,33.9
-92.62,16.74,SCRCP,CHIS,Puente Morelos Chis.,23.5
-93.07,16.72,TXZCP,CHIS,Tuxtla GutiÈrrez Zoomat Chis.,30.8
-92.33,15.17,FHACP,CHIS,Finca Hamburgo Chis.,25.8
-92.81,15.66,ELTRIUNFO,CHIS,El Triunfo Chis. SMN*,23.9
-93.08,17.56,SJOCP,CHIS,San JoaquÌn Chis.,35.2
-93.02,16.56,MMTG,CHIS,Aeropuerto Internacional de Tuxtla GutiÈrrez Chis.*,32.4
-92.48,15.35,FPZCP,CHIS,Finca la Paz Chis.,27.3
-92.76,15.07,LAENCRUCIJADA,CHIS,La Encrucijada Chis. SGT*,32.6
-93.56,16.7,LFLCP,CHIS,Las Flores Chis.,32.7
-92.9,16,JSBCP,CHIS,Juan Sabines Chis.,32.5
-92.37,14.79,MMTP,CHIS,Aeropuerto Internacional de Tapachula Chis.*,32.9
-92.73,15.37,CACCP,CHIS,Cacaluta Chis.,33.3
-92.15,15.09,VTACANA,CHIS,Volc·n Tacan· Chis. SMN*,26.5
-91.99,17.53,PLQCP,CHIS,Palenque Chis. SMN*,34.2
-92.26,14.91,TAPCP,CHIS,Tapachula Chis.,35.7
-92.91,17.18,UNIVERSIDADLIND,CHIS,Universidad Lindavista Chis. SMN*,26.1
-93.9,16.24,AROCP,CHIS,Observatorio de Arriaga Chis.,35.7
-92.02,17.53,MMPQ,CHIS,Aeropuerto Internacional de Palenque Chis,33.1
-92.3,15.13,FARCP,CHIS,Finca Argovia Chis.,27.8
-93.86,16.06,PAREDONMAR,CHIS,ParedÛn Chis. SEMAR*,34.6
-93.22,15.69,PIJCP,CHIS,Pijijiapan Chis.,34.0
-93.11,17.51,PICCP,CHIS,Pichucalco Chis.,35.2
-92.24,15.78,SMICP,CHIS,San Miguel Chis.,31.3
-92.13,16.23,COMITANob,CHIS,Observatorio de Comit·n Chis. SMN*,26.4
-91.52,16.81,NAHA,CHIS,Naha Chis. SMN*,29.1
-93.08,16.17,CREDREVOLUCIONM,CHIS,Cred RevoluciÛn Mexicana Chis. PC*,33.7
-93.46,17.45,PENCP,CHIS,Angel Albino Corzo Chis.,33.3
-92.4,14.7,PTOCHIAPASMAR,CHIS,Puerto Chiapas Chis. SEMAR*,32.8
-92.41,14.7,CPCHIAPASmar,CHIS,CapitanÌa de Puerto de Puerto Chiapas Chis. SEMAR*,30.4
-92.25,15.36,CREDMOTOZINTLA,CHIS,Cred Motozintla Chis. SMN*,29.2
-92.95,15.5,ELNCP,CHIS,El Novillero Chis.,34.4
-92.24,14.99,TAMCP,CHIS,Tapachula Malpaso Chis.,32.5
-93.15,16.76,TUXTLAGTZob,CHIS,Observatorio de Tuxtla GutiÈrrez Chis. SMN*,33.7
-101.02,25.38,STOCL,COAH,Saltillo Coah.,27.3
-103.45,25.54,TORCL,COAH,Observatorio de TorreÛn Coah.,36.0
-103.47,25.54,CYTCL,COAH,Coyote Coah.,34.4
-102.98,25.76,SPECL,COAH,San Pedro Coah.,37.4
-100.62,27.52,VCRCL,COAH,Venustiano Carranza Coah.,36.6
-101.12,27.85,SBNCL,COAH,Sabinas Coah.,36.0
-101.06,29.45,AMSCL,COAH,Internacional La Amistad Coah.,34.4
-103.28,25.07,LFLDR,COAH,La Flor Coah.,33.2
-101.02,25.38,SALCL,COAH,Observatorio de Saltillo Coah.,27.7
-100.95,27.52,VCARRANZA,COAH,Venustiano Carranza Coah. SMN*,36.4
-101.33,27.92,NUEVAROSITA,COAH,Nueva Rosita Coah. SMN*,36.7
-100.92,25.44,ESLCL,COAH,SecretarÌa de Agricultura Saltillo Coah.,27.9
-101.42,26.91,MCVCL,COAH,Observatorio de Monclova Coah.,36.8
-100.53,28.71,PNGCL,COAH,Observatorio de Piedras Negras Coah.,36.4
-100.93,25.55,MMIO,COAH,Aeropuerto Internacional de Saltillo Coah.*,27.6
-103.4,25.56,MMTC,COAH,Aeropuerto Internacional de TorreÛn Coah.*,33.4
-101.46,26.95,MMMV,COAH,Aeropuerto Internacional Venustiano Carranza Coah.*,33.8
-100.54,28.63,MMPG,COAH,Aeropuerto Internacional de Piedras Negras Coah.*,33.6
-100.66,26.84,CDLCL,COAH,Candela Coah.,35.6
-102.06,26.98,CCGCL,COAH,Cuatro CiÈnegas Coah.,33.5
-101.21,28.4,SANTACECILIA,COAH,Santa Cecilia Coah. SMN*,33.7
-100.57,28.68,PNEGRASob,COAH,Observatorio de Piedras Negras Coah. SMN*,36.8
-100.95,29.33,LASVACASC,COAH,Las Vacas. Ciudad AcuÒa Coah. CILA*,34.1
-103.27,25.77,MADCL,COAH,Madero Coah.,35.1
-101.06,29.45,PLAAMISTAD,COAH,Presa La Amistad Coah. SGT*,33.9
-103.23,25.53,MATCL,COAH,Matamoros Coah.,32.6
-102.18,25.44,PARCL,COAH,Parras Coah.,29.4
-102.81,25.33,VSCCL,COAH,Viesca Coah.,34.1
-101.43,26.9,MONCLOVAob,COAH,Observatorio de Monclova Coah. SMN*,37.2
-101,27.42,PRSCL,COAH,Progreso Coah.,36.9
-100.84,28.34,ADLCL,COAH,Allende Coah.,35.6
-100.95,29.03,SMGCL,COAH,San Miguel Coah.,33.1
-101.12,29.15,CBRCL,COAH,Cabeceras Coah.,36.1
-100.95,29.33,CDACL,COAH,Ciudad AcuÒa Coah.,33.9
-103.87,19.17,LAECM,COL,La Esperanza Col.,34.4
-103.73,18.76,CDOCM,COL,Cerro de Ortega Col.,35.9
-103.77,18.81,LDACM,COL,Laguna de Amela Col.,35.8
-103.87,18.91,TCMCM,COL,Tecom·n Col.,35.5
-103.8,19.21,CQMCM,COL,Coquimatl·n Col.,34.1
-103.73,19.22,LPSCM,COL,La Posta Col.,34.8
-104.1,18.94,RDRCM,COL,Radar Col.,35.3
-103.6,19.32,CUACM,COL,CuauhtÈmoc Col.,33.0
-104.32,19.04,MNZCM,COL,Observatorio de Manzanillo Col.,33.5
-103.61,19.25,BVSCM,COL,Buenavista Col.,33.6
-103.58,19.28,MMIA,COL,Aeropuerto Nacional de Colima Col.*,29.3
-110.95,18.73,ISOCORROMAR,COL,Isla Socorro Col. SEMAR*,30.9
-104.31,19.05,IOPmar,COL,Instituto Oceanogr·fico del PacÌfico Col. SEMAR*,34.6
